GRB	z	Mstar	perr	nerr	12+log(O/H)	perr	nerr	ref
980425	0.0085	9.22	0.52	0.52	8.55	0.1 	0.1	EL+10/JG+13
980703	0.966	9.83	0.13	0.13	8.48	0.17	0.17	EL+10
990712	0.434	9.15	0.04	0.04	8.4 	0.3	0.3	EL+10
991208	0.706	8.85	0.17	0.17	8.05	0.1	0.1	EL+10/JG+13
010921	0.451	9.56	0.09	0.11	8.34	0.1	0.1	EL+10/JG+13
020903	0.251	8.79	0.19	0.24	8.38	0.1	0.1	EL+10/JG+13
030329	0.168	7.91	0.12	0.44	8.12	0.1	0.1	EL+10/JG+13
030528	0.782	9.11	0.23	0.26	8.4	0.3	0.3	EL+10
031203	0.1055	8.26	0.45	0.45	8.27	0.1	0.1	EL+10/JG+13
050826	0.296	10.10	0.22	0.26	8.83	0.1	0.1	EL+10/JG+13
051022	0.80625	10.42	0.05	0.05	8.77	0.1	0.1	EL+10/JG+13
060218	0.034	8.37	0.14	0.14	8.24	0.1	0.1	EL+10/JG+13
060306	1.5597	10.4	0.1	0.1	8.91	0.16	0.41	JP+19
060814	1.9223	10.0	0.1	0.1	8.46	0.10	0.16	JP+19
061007	1.2623	8.9	0.4	0.5	8.13	0.11	0.23	JP+19
061121	1.3160	9.4	0.1	0.1	8.51	0.03	0.04	JP+19
070306	1.4965	9.7	0.1	0.1	8.43	0.03	0.04	JP+19
071117	1.3293	9.8	0.0	0.0	8.54	0.13	0.25	JP+19
080413B	1.1012	9.5	0.2	0.2	8.35	0.17	0.29	JP+19
080602	1.8204	9.4	0.1	0.1	8.69	0.12	0.21	JP+19
080605	1.6408	9.6	0.1	0.1	8.47	0.04	0.04	JP+19
090926B	1.2427	9.9	0.1	0.1	8.48	0.09	0.16	JP+19
100615A	1.3979	8.6	0.2	0.2	8.16	0.18	0.36	JP+19
